what,kind,bundleId,bundleVersion,description,time
activated,editor,org.topbraidcomposer.editors,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.ResourceEditor",1365015736404
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365015769728
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365016391938
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365016401704
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365017272654
activated,view,org.topbraidcomposer.navigation,4.1.0.v20121228-2356R,"org.topbraidcomposer.navigation.propertiestree",1365017278053
activated,editor,org.topbraidcomposer.editors,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.ResourceEditor",1365017284498
activated,view,org.topbraidcomposer.navigation,4.1.0.v20121228-2356R,"org.topbraidcomposer.navigation.propertiestree",1365017285644
activated,editor,org.topbraidcomposer.editors,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.ResourceEditor",1365017286448
activated,view,org.topbraidcomposer.navigation,4.1.0.v20121228-2356R,"org.topbraidcomposer.navigation.propertiestree",1365017288084
activated,editor,org.topbraidcomposer.editors,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.ResourceEditor",1365017288944
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1365017293309
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365017340241
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365017720407
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365017722854
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365017723255
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365017725845
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365017985701
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1365017987269
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365018000296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365018324259
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1365018332202
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365018336283
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365018406718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365018415581
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365018422159
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1365018424146
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1365018425756
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365018428875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365018838900
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1365018851886
activated,view,org.topbraidcomposer.navigation,4.1.0.v20121228-2356R,"org.topbraidcomposer.navigation.propertiestree",1365018860369
activated,editor,org.topbraidcomposer.editors,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.ResourceEditor",1365018862023
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1365018863854
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365018870528
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365019104190
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1365019105574
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365019152058
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365019421457
activated,view,org.topbraidcomposer.navigation,4.1.0.v20121228-2356R,"org.topbraidcomposer.navigation.subclassestree",1365019421473
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365019424325
activated,editor,org.topbraidcomposer.editors,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.ResourceEditor",1365019431669
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365019431700
activated,view,org.topbraidcomposer.navigation,4.1.0.v20121228-2356R,"org.topbraidcomposer.navigation.instances",1365019442463
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365019442480
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365019445204
activated,editor,org.topbraidcomposer.editors,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.ResourceEditor",1365019445688
activated,view,org.topbraidcomposer.navigation,4.1.0.v20121228-2356R,"org.topbraidcomposer.navigation.instances",1365019448915
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365019448930
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365019453000
activated,editor,org.topbraidcomposer.editors,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.ResourceEditor",1365019453435
activated,view,org.topbraidcomposer.navigation,4.1.0.v20121228-2356R,"org.topbraidcomposer.navigation.instances",1365019456418
activated,editor,org.topbraidcomposer.editors,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.ResourceEditor",1365019458829
activated,view,org.topbraidcomposer.navigation,4.1.0.v20121228-2356R,"org.topbraidcomposer.navigation.instances",1365019464276
activated,editor,org.topbraidcomposer.editors,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.ResourceEditor",1365019466210
activated,view,org.topbraidcomposer.navigation,4.1.0.v20121228-2356R,"org.topbraidcomposer.navigation.instances",1365019473365
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365019473380
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365019477683
activated,editor,org.topbraidcomposer.editors,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.ResourceEditor",1365019478112
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365019481614
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365019655759
activated,view,org.topbraidcomposer.navigation,4.1.0.v20121228-2356R,"org.topbraidcomposer.navigation.subclassestree",1365019655785
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365019700554
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365019710591
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365019738774
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365019910962
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365019921155
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365019925690
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365019929786
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365020339428
activated,view,org.topbraidcomposer.navigation,4.1.0.v20121228-2356R,"org.topbraidcomposer.navigation.instances",1365020366087
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365020366116
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365020372734
activated,editor,org.topbraidcomposer.editors,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.ResourceEditor",1365020373074
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365020450235
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365020493499
activated,view,org.topbraidcomposer.ui,4.1.0.v20121228-2356R,"org.topbraidcomposer.ui.views.basket",1365020493519
activated,view,org.topbraidcomposer.navigation,4.1.0.v20121228-2356R,"org.topbraidcomposer.navigation.instances",1365020550361
activated,view,org.topbraidcomposer.navigation,4.1.0.v20121228-2356R,"org.topbraidcomposer.navigation.subclassestree",1365020554857
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365020556815
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365020568887
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365020572646
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365020581066
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365020586960
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365020600330
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365020622970
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365020784768
activated,editor,org.topbraidcomposer.editors,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.ResourceEditor",1365020784794
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1365020786604
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365020827150
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365020829770
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365020829912
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1365020830070
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1365020830076
stopped,bundle,org.topbraidcomposer.calais,4.1.0.v20121228-2356R,"org.topbraidcomposer.calais",1365020830300
stopped,bundle,org.topbraid.calais,4.1.0.v20121228-2356R,"org.topbraid.calais",1365020830307
stopped,bundle,org.topbraidcomposer.editors.ontology,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.ontology",1365020830307
stopped,bundle,org.topbraidcomposer.html,4.1.0.v20121228-2356R,"org.topbraidcomposer.html",1365020830307
stopped,bundle,org.topbraidcomposer.spin.box,4.1.0.v20121228-2356R,"org.topbraidcomposer.spin.box",1365020830307
stopped,bundle,org.topbraidcomposer.gef.diagram,4.1.0.v20121228-2356R,"org.topbraidcomposer.gef.diagram",1365020830307
stopped,bundle,org.topbraidcomposer.owlim,4.1.0.v20121228-2356R,"org.topbraidcomposer.owlim",1365020830307
stopped,bundle,org.topbraidcomposer.rules,4.1.0.v20121228-2356R,"org.topbraidcomposer.rules",1365020830307
stopped,bundle,org.topbraidcomposer.spin,4.1.0.v20121228-2356R,"org.topbraidcomposer.spin",1365020830307
stopped,bundle,org.topbraidcomposer.inference,4.1.0.v20121228-2356R,"org.topbraidcomposer.inference",1365020830307
stopped,bundle,org.topbraidcomposer.navigation,4.1.0.v20121228-2356R,"org.topbraidcomposer.navigation",1365020830307
stopped,bundle,org.topbraidcomposer.refactoring,4.1.0.v20121228-2356R,"org.topbraidcomposer.refactoring",1365020830307
stopped,bundle,org.topbraidcomposer.editors.actions,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.actions",1365020830307
stopped,bundle,org.topbraidcomposer.gef.graph,4.1.0.v20121228-2356R,"org.topbraidcomposer.gef.graph",1365020830307
stopped,bundle,org.topbraidcomposer.sparql,4.1.0.v20121228-2356R,"org.topbraidcomposer.sparql",1365020830307
stopped,bundle,org.topbraidcomposer.editors.forms,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.forms",1365020830307
stopped,bundle,org.topbraidcomposer.editors.forms.layout,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.forms.layout",1365020830307
stopped,bundle,org.topbraidcomposer.forms,4.1.0.v20121228-2356R,"org.topbraidcomposer.forms",1365020830307
stopped,bundle,org.topbraidcomposer.xsdcalendar,4.1.0.v20121228-2356R,"org.topbraidcomposer.xsdcalendar",1365020830307
stopped,bundle,org.topbraidcomposer.widgets,4.1.0.v20121228-2356R,"org.topbraidcomposer.widgets",1365020830307
stopped,bundle,org.topbraidcomposer.d2rq,4.1.0.v20121228-2356R,"org.topbraidcomposer.d2rq",1365020830307
stopped,bundle,org.topbraidcomposer.editors.rdfsource,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.rdfsource",1365020830310
stopped,bundle,org.topbraidcomposer.gef,4.1.0.v20121228-2356R,"org.topbraidcomposer.gef",1365020830310
stopped,bundle,org.topbraidcomposer.oracle,4.1.0.v20121228-2356R,"org.topbraidcomposer.oracle",1365020830310
stopped,bundle,org.topbraidcomposer.sdb,4.1.0.v20121228-2356R,"org.topbraidcomposer.sdb",1365020830310
stopped,bundle,org.topbraidcomposer.sesame2,4.1.0.v20121228-2356R,"org.topbraidcomposer.sesame2",1365020830310
stopped,bundle,org.topbraidcomposer.tables,4.1.0.v20121228-2356R,"org.topbraidcomposer.tables",1365020830310
stopped,bundle,org.topbraidcomposer.tdb,4.1.0.v20121228-2356R,"org.topbraidcomposer.tdb",1365020830310
stopped,bundle,org.topbraidcomposer.editors,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors",1365020830310
stopped,bundle,org.topbraidcomposer.feeds,4.1.0.v20121228-2356R,"org.topbraidcomposer.feeds",1365020830310
stopped,bundle,org.topbraidcomposer.markers,4.1.0.v20121228-2356R,"org.topbraidcomposer.markers",1365020830310
stopped,bundle,org.topbraidcomposer.matrix,4.1.0.v20121228-2356R,"org.topbraidcomposer.matrix",1365020830310
stopped,bundle,org.topbraidcomposer.operations,4.1.0.v20121228-2356R,"org.topbraidcomposer.operations",1365020830310
stopped,bundle,org.topbraidcomposer.partialimport,4.1.0.v20121228-2356R,"org.topbraidcomposer.partialimport",1365020830310
stopped,bundle,org.topbraidcomposer.rdfa,4.1.0.v20121228-2356R,"org.topbraidcomposer.rdfa",1365020830310
stopped,bundle,org.topbraidcomposer.rdfa.editor,4.1.0.v20121228-2356R,"org.topbraidcomposer.rdfa.editor",1365020830312
stopped,bundle,org.topbraidcomposer.semanticweb,4.1.0.v20121228-2356R,"org.topbraidcomposer.semanticweb",1365020830312
stopped,bundle,org.topbraidcomposer.spreadsheets,4.1.0.v20121228-2356R,"org.topbraidcomposer.spreadsheets",1365020830312
stopped,bundle,org.topbraidcomposer.uml,4.1.0.v20121228-2356R,"org.topbraidcomposer.uml",1365020830312
stopped,bundle,org.topbraidcomposer.wizards,4.1.0.v20121228-2356R,"org.topbraidcomposer.wizards",1365020830312
stopped,bundle,org.topbraidcomposer.ui,4.1.0.v20121228-2356R,"org.topbraidcomposer.ui",1365020830315
stopped,bundle,org.topbraidcomposer.core,4.1.0.v20121228-2356R,"org.topbraidcomposer.core",1365020830315
stopped,bundle,org.topbraid.diff,4.1.0.v20121228-2356R,"org.topbraid.diff",1365020830315
stopped,bundle,org.topbraid.geo,4.1.0.v20121228-2356R,"org.topbraid.geo",1365020830315
stopped,bundle,org.topbraid.owlim,4.1.0.v20121228-2356R,"org.topbraid.owlim",1365020830315
stopped,bundle,org.topbraid.oracle,4.1.0.v20121228-2356R,"org.topbraid.oracle",1365020830315
stopped,bundle,org.topbraid.lib.d2rq,4.1.0.v20121228-2356R,"org.topbraid.lib.d2rq",1365020830315
opening,SPARQLMotion,org.topbraid.sdb,4.1.0.v20121228-2356R,"org.topbraid.sdb.graph.DummySDBModule",1365020830377
stopped,bundle,org.topbraid.sdb,4.1.0.v20121228-2356R,"org.topbraid.sdb",1365020830377
stopped,bundle,org.topbraid.sesame2,4.1.0.v20121228-2356R,"org.topbraid.sesame2",1365020830377
stopped,bundle,org.topbraid.sparqlmotion.functions,4.1.0.v20121228-2356R,"org.topbraid.sparqlmotion.functions",1365020830377
stopped,bundle,org.topbraid.spellcheck,4.1.0.v20121228-2356R,"org.topbraid.spellcheck",1365020830378
activated,perspective,org.topbraidcomposer.ui,,"org.topbraidcomposer.ui.TopBraidPerspective",1365170423605
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1365170423606
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1365170423606
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1365170423606
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1365170423606
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1365170423606
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1365170423606
