what,kind,bundleId,bundleVersion,description,time
started,bundle,org.topbraidcomposer.widgets,4.1.0.v20121228-2356R,"org.topbraidcomposer.widgets",1366723674986
started,bundle,org.topbraidcomposer.xsdcalendar,4.1.0.v20121228-2356R,"org.topbraidcomposer.xsdcalendar",1366723674986
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20110523-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1366723674986
os,sysinfo,,,"win32",1366723674988
arch,sysinfo,,,"x86_64",1366723674988
ws,sysinfo,,,"win32",1366723674988
locale,sysinfo,,,"en_US",1366723674988
processors,sysinfo,,,"4",1366723674989
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1366723674989
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1366723674989
java.specification.name,sysinfo,,,"Java Platform API Specification",1366723674989
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1366723674989
java.specification.version,sysinfo,,,"1.6",1366723674989
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1366723674989
java.version,sysinfo,,,"1.6.0_26",1366723674989
java.vm.info,sysinfo,,,"mixed mode",1366723674989
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1366723674989
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1366723674989
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1366723674989
java.vm.specification.version,sysinfo,,,"1.0",1366723674989
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1366723674989
java.vm.version,sysinfo,,,"20.1-b02",1366723674989
started,bundle,org.topbraidcomposer.usagedata.ui,4.1.0.v20121228-2356R,"org.topbraidcomposer.usagedata.ui",1366723675020
starting,topbraid,org.topbraidcomposer.gef,4.1.0.v20121228-2356R,"",1366723675021
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366723906077
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366724342674
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366724351321
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366731556695
opened,view,org.topbraidcomposer.sparql,4.1.0.v20121228-2356R,"org.topbraidcomposer.sparql.view",1366731558790
activated,view,org.topbraidcomposer.sparql,4.1.0.v20121228-2356R,"org.topbraidcomposer.sparql.view",1366731558810
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1366731562965
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366731566889
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366735749869
activated,view,org.topbraidcomposer.navigation,4.1.0.v20121228-2356R,"org.topbraidcomposer.navigation.propertiestree",1366735817159
activated,view,org.topbraidcomposer.sparql,4.1.0.v20121228-2356R,"org.topbraidcomposer.sparql.view",1366735828123
started,bundle,org.topbraid.lib.owlim,4.1.0.v20121228-2356R,"org.topbraid.lib.owlim",1366735859767
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366735929935
